montant_cible,duree_mois,wallet_solde,total_contributions,nb_contributions,pct_progres,avg_contrib,freq_contrib_mois,jours_depuis_debut,jours_sans_contrib,reste_a_atteindre,ratio_solde_cible,atteint,pct_final_predit,jours_restants
2372.33,6,7918.02,970.2,3,40.9,323.4,3.4877,254,79,1402.13,3.3377,1,55.06,29.1
5714.14,3,6621.21,5714.14,27,100.0,296.98,2.9249,296,82,0.0,1.1587,1,89.13,28.6
4445.56,12,5032.14,1774.6,5,39.92,354.92,3.0084,364,41,2670.96,1.1319,1,40.71,0.3
3672.22,6,5598.1,573.0,25,15.6,22.92,2.2759,794,16,3099.22,1.5244,0,25.48,730.0
1104.91,3,7220.1,1104.91,26,100.0,68.45,2.3802,485,190,0.0,6.5346,1,79.84,0.0
1104.77,24,2361.7,1104.77,22,100.0,437.09,0.6212,92,172,0.0,2.1377,1,74.65,0.0
536.88,9,9963.71,536.88,26,100.0,347.24,1.8311,119,6,0.0,18.5585,1,85.9,0.0
5223.82,18,9750.45,296.84,4,5.68,74.21,1.858,199,154,4926.98,1.8665,0,14.73,730.0
3686.47,24,6538.22,3686.47,24,100.0,424.2,3.8381,809,9,0.0,1.7736,1,85.32,16.6
4306.82,3,2075.47,272.54,2,6.33,136.27,1.7812,260,33,4034.28,0.4819,0,16.51,487.3
319.39,24,6834.26,0.0,0,0.0,0.0,0.0,733,35,319.39,21.3979,0,0.0,730.0
5825.48,9,814.76,269.07,3,4.62,89.69,2.1797,300,152,5556.41,0.1399,0,17.18,730.0
5028.17,3,403.46,5028.17,24,100.0,360.85,2.5834,654,5,0.0,0.0802,1,88.12,22.9
1431.57,24,2651.06,1431.57,19,100.0,340.09,3.0181,210,151,0.0,1.8519,1,81.25,0.0
1254.58,18,4679.97,121.33,1,9.67,121.33,0.9777,806,145,1133.25,3.7303,0,7.29,306.6
1263.75,18,8695.9,1263.75,25,100.0,434.43,2.162,335,133,0.0,6.881,1,80.54,0.0
1964.61,6,7298.97,1964.61,29,100.0,212.63,3.3211,520,28,0.0,3.7152,1,85.14,0.0
3243.59,24,7452.79,3243.59,29,100.0,160.41,1.9061,418,125,0.0,2.2977,1,85.37,0.0
2705.28,12,4312.38,372.48,4,13.77,93.12,1.186,616,152,2332.8,1.5941,0,10.9,664.9
